SNname,Type,source,E(B-V) SF2011,finalmaxVjd,finalmaxVjderr,CfA VJD bootstrap,CfA VJD bootstrap error,CfA BJD bootstrap,CfA BJD error,CfA RJD bootstrap,CfA RJD error,CfA IJD bootstrap,CfA IJD error,D11Vmaxdate,D11Vmaxdateerr,MaxVdate,MaxVJD,Vmax_CfAmethod,Vmax_CfAmethod_err,MaxVMag,MaxVmagerr,luminosity distance Mpc,comment
SN2003id,Ic-pec,lit,,,,2452911.76,0.05,,,,,,,,,,,,,,,,
SN2005fk,Ic-bl,lit,,,,,,,,2453629.65,1.64,2453630.05,1.71,,,,,,,,,,
SN2005hl,Ib,lit,,,,,,,,2453633.25,0.57,2453635.63,0.79,,,,,,,,,,
SN2005hm,Ib,lit,,,,,,,,2453653.17,0.41,2453655.39,0.27,,,,,,,,,,
SN2005kr,Ic-bl,lit,,,,,,,,2453691.86,0.84,2453693.86,0.59,,,,,,,,,,
SN2007qv,Ic,lit,,,,,,,,2454417.69,1.17,2454418.2,1.37,,,,,,,,,,
SN2007qx,Ic,lit,,,,,,,,2454423.91,1.67,,,,,,,,,,,,
SN2010et,Ib,lit,,,,,,,,2455359.05,0.65,2455362.94,0.65,,,,,,,,,,
SN2010jr,IIb,lit,,,,2455531.71,0.99,,,,,,,,,,,,,,,,
SN2010X,Ic?,lit,,,,,,,,2455240.27,0.27,,,,,,,,,,,,
SN2012ap,Ic-BL,lit,,,,2455976.58,0.5,,,,,,,,,,,,,,,,
SN2013dk,Ic,lit,,,,2456476.47,0.19,,,,,,,,,,,,,,,,
SN2016gkg,IIb,lit,,,,,,,,,,2457681.82,5.26,,,,,,,,,,
